Pedro Tyrone Collins,August 12  1976  Boscobelle  St Peter  Barbados ,41 years 239 days,West Indies ,Bowler,Right-hand bat,Left-arm fast-medium,Half-brother - ,
Corey Dalanelo Collymore,December 21  1977  Boscobelle  St Peter  Barbados ,40 years 108 days,West Indies ,Bowler,Right-hand bat,Right-arm fast-medium,,
Desmond John Collymore,June 28  1956  La Brea  St Lucia ,61 years 284 days,Windward Islands,,Left-hand bat,Left-arm fast-medium,,
Earl Collymore,date unknown ,,,,,,Umpire,
Ernest Allan Collymore,February 4  1893  Country Road  St Michael  Barbados ,,Barbados,,Right-hand bat,,June 23  1962  Bannister Land  St Michael  Barbados (aged 69 years 139 days) ,
Rickford Clarence Collymore,June 10  1939  Plaisance  East Coast  Demerara  British Guiana ,78 years 302 days,British Guiana ,,Left-hand bat,Slow left-arm orthodox,,
Walter Osmond Collymore,August 30  1856  Fontabelle  St Michael  Barbados ,,Barbados,,,,July 23  1907  Bridgetown  Barbados (aged 50 years 327 days) ,
Shamilia Shontell Connell,July 14  1992 ,25 years 268 days,Barbados Women ,,Right-hand bat,Right-arm fast,,
Valance Richard Connell,February 9  1944  Fontabelle  St Michael  Barbados ,74 years 58 days,Barbados,,Right-hand bat,,Wicketkeeper,
Elias Constantine,May 22  1912  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium,Brother - ,
Learie Nicholas Constantine,September 21  1901  Petit Valley  Diego Martin  Trinidad ,,West Indies ,Allrounder,Right-hand bat,Right-arm fast  Right-arm medium,Father - ,
Lebrun Samuel Constantine,May 25  1874  Maraval  Trinidad ,,West Indies ,,Right-hand bat,,Son - ,
Sarran Coonai,July 5  1953  Diamond Village  Diego Martin ,64 years 277 days,North Trinidad,,,Slow left-arm orthodox,,
Akiel Cooper,November 26  1990  Moruga  Trinidad ,27 years 133 days,Trinidad &amp; Tobago ,Allrounder,Right-hand bat,Right-arm medium,,
Britney Cooper,August 23  1989  Trinidad ,28 years 228 days,West Indies Women,,Right-hand bat,Right-arm fast-medium,,
Cephas Lenard Cooper,July 11  1999 ,18 years 271 days,Trinidad &amp; Tobago Under-19s ,,Right-hand bat,Right-arm offbreak,,
Kevon Keston Cooper,February 16  1989  Trinidad ,29 years 51 days,Chittagong Kings ,Allrounder,Right-hand bat,Right-arm medium,,
Lennox Cooper,date unknown  Montserrat ,,Leeward Islands,,,Right-arm fast,,
Naralie Cooper,date unknown ,,St Lucia Women,,,,,
Roylin Nadella Cooper,January 15  1984 ,34 years 83 days,St Lucia Women,,Right-hand bat,Right-arm medium,,
Kenneth F Corbie,date unknown ,,Trinidad &amp; Tobago,,,,,
Osmond Corbie,July 28  1934  Belmont  Port-of-Spain  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium  Right-arm offbreak,Osmond “Ollie” Corbie,
Andrew Neville Harcourt Corbin,October 19  1949  Barbados ,68 years 171 days,,,,,Umpire,
Kyle Anthony McDonald Corbin,May 15  1990 ,27 years 328 days,Barbados Tridents ,Batsman,Right-hand bat,,,
Terrence Anthony Corke,December 27  1955  Ewarton  St Catherine  Jamaica ,62 years 102 days,Jamaica,,Right-hand bat,Right-arm medium,,
Alvin Ainsley Corneal,October 13  1937  San Juan  Trinidad ,80 years 177 days,Trinidad &amp; Tobago,,Left-hand bat,,,
Carlton Dominic Corneille,August 30  1956  Trinidad ,61 years 221 days,North Trinidad,,Right-hand bat,Right-arm offbreak,,
Keithroy Cornelius,May 3  1968 ,49 years 340 days,United States Virgin Islands,Allrounder,Right-hand bat,Right-arm fast,,
Lloyd Malcolm Cornelius,February 19  1943  Anna Regina  Essequibo  British Guiana ,75 years 48 days,Guyana,,Right-hand bat,Right-arm offbreak,,
Troy Christopher Cornelius,January 28  1983  Bartica Village  Essequibo  Guyana ,35 years 70 days,Guyana,,Left-hand bat,,,
Rahkeem Rashawn Shane Cornwall,February 1  1993  Antigua ,25 years 66 days,Antigua Hawksbills ,,Right-hand bat,Right-arm offbreak,,
Wilden Winston Cornwall,April 29  1973  Liberta  Antigua ,44 years 344 days,Antigua and Barbuda ,,Right-hand bat,Right-arm medium,,
Alford Corriette,August 23  1948  Montserrat ,69 years 228 days,Leeward Islands,,Right-hand bat,Right-arm medium,,
Colwin Brentnol Cort,September 19  1967  Bartica  Essequibo  Guyana ,50 years 201 days,Guyana,,Right-hand bat,Right-arm fast,,
Trishanie Shonika Cort,January 8  1993 ,25 years 90 days,Guyana Women,,Left-hand bat,Left-arm medium,,
Karla Atoinette Cotein,May 10  1982 ,35 years 333 days,Jamaica Women,,Right-hand bat,Right-arm fast-medium,,
Keron Julius Cottoy,November 14  1989  Richland Park  St Vincent and the Grenadines ,28 years 145 days,Combined Campuses and Colleges ,Middle-order batsman,Left-hand bat,Legbreak,,
Sheldon Shane Cottrell,August 19  1989  Jamaica ,28 years 232 days,West Indies ,Bowler,Right-hand bat,Left-arm fast-medium,,
Leroy Coury,date unknown  St Kitts ,,Leeward Islands,,,Legbreak googly,October 22  2012 ,
Allan Pile Cox,November 11  1873  Foster Hall Plantation  St Joseph  Barbados ,,Barbados,,,,January 5  1896  Joe's River  St Joseph  Barbados (aged 22 years 55 days) ,
Gustavus Blagrove Young Cox,May 30  1870  Grand View  St Michael  Barbados ,,Barbados,,Right-hand bat,,September 9  1958  Port of Spain  Trinidad (aged 88 years 102 days) ,
George Sergeant Cox,November 1  1877 ,,Jamaica,,,,October 25  1945  Kingston  Jamaica (aged 67 years 358 days) ,
Hampden Tudor Cox,April 3  1866  Haggatts Plantation  St Andrew  Barbados ,,Barbados,,Right-hand bat,,1940  Naparima  Trinidad (aged 73 years) ,
Joseph Cox,date unknown ,,North Trinidad,,,,,
Linford Alexander,May 16  1850  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,February 12  1912  British Guiana (aged 61 years 272 days) ,
Newman Cox,March 13  1867  Vigilance  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,January 2  1938  British Guiana (aged 70 years 295 days) ,
Percy Ince Cox,September 16  1878  Foster Hall Plantation  St Joseph  Barbados ,,Barbados ,,Right-hand bat,,1918  Princes Town  Trinidad (aged 39 years) ,
Anthony Cozier,July 10  1940  Barbados ,,,Wicketkeeper batsman,Right-hand bat,,Commentator  Journalist  Author,
Alton Laurie Crafton,December 17  1969  St Lucia ,48 years 112 days,Northern Windward Islands ,Middle-order batsman,Right-hand bat,,,
Nerissa Kershara Crafton,July 23  1998 ,19 years 259 days,St Lucia Women,,Left-hand bat,Left-arm medium,,
Esuan Asqui Crandon,December 17  1981  Rose Hall  Berbice  Guyana ,36 years 112 days,West Indians ,Bowler,Left-hand bat,Right-arm fast,Brother - ,
Royston Tycho Crandon,May 31  1983  Courtland  Berbice ,34 years 312 days,Guyana,Batsman,Right-hand bat,Right-arm offbreak,Brother - ,
John N Crawford,date unknown ,,Trinidad &amp; Tobago,,,,,
Linval Livisky Crawford,June 1  1959  Bounty Hill  Jamaica ,,Jamaica,,Right-hand bat,,May 30  1992  Trelawny  Jamaica (aged 32 years 364 days) ,
Shannon Crawford,May 2  1977  Guyana ,40 years 341 days,,,,,Umpire,
Teeadie Crawford,July 7  1995  La Clery  Castries ,22 years 275 days,St Lucia Women,,Right-hand bat,Right-arm offbreak,,
Andre St Aubin Creary,November 17  1990  Jamaica ,27 years 142 days,Jamaica ,,Right-hand bat,Right-arm offbreak,Half-brother - ,
Anthony Creed,date unknown ,,,,,,Umpire,
Paul Ewart Francis Cressall,May 2  1893  Bromley  Kent  England ,,British Guiana,,Right-hand bat,,Cranleigh School,
K Crichlow,date unknown ,,South Trinidad,,,,,
Cuthbert O'Brien Crick,October 24  1920  Barbados ,97 years 166 days,Barbados,,,,,
Henry Arthur Croal,March 27  1891  Happy Acres  East Coast  Demerara  British Guiana ,,British Guiana,,Left-hand bat,Left-arm bowler,June 2  1948  British Guiana (aged 57 years 67 days) ,
Colin Everton Hunte Croft,March 15  1953  Lancaster Village  East Coast  Demerara  British Guiana ,65 years 24 days,West Indies ,,Right-hand bat,Right-arm fast,,
Joshua Jamal Cromwell,July 19  1887  Montrose  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,Wicketkeeper,
Shahid Plateine Crooks,December 22  1996 ,21 years 107 days,Jamaica Under-19s,,Right-hand bat,Right-arm medium-fast,,
Kwame Crosse,September 20  1992  Guyana ,25 years 200 days,Guyana Under-19s ,,Left-hand bat,Left-arm medium,,
Teadie Annkie Crowford,July 27  1995 ,22 years 255 days,St Lucia Women,,Right-hand bat,Right-arm offbreak,,
Daron Alfred Cruickshank,June 17  1986  Port-of-Spain  Trinidad ,31 years 295 days,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium,,
O'Neil Washington Cruikshank,January 1  1968  Jamaica ,50 years 97 days,Jamaica,,Right-hand bat,Right-arm medium,,
L J Crutchley,date unknown ,,Jamaica,,,,Wicketkeeper,
Tinesha Cudjoe,date unknown ,,Trinidad &amp; Tobago Women,,,,,
Whitney Iesha Cudjoe,January 3  1991  Trinidad ,27 years 95 days,Trinidad &amp; Tobago Women,,Right-hand bat,Right-arm slow,,
Wayne Everton Cuff,December 26  1971  Kingston  Jamaica ,46 years 103 days,Jamaica,,Left-hand bat,,Wicketkeeper,
S Cuffie,date unknown ,,South Trinidad,,,,,
Cameron Eustace Cuffy,February 8  1970  South Rivers  St Vincent ,48 years 59 days,West Indies ,,Right-hand bat,Right-arm fast,,
Theodore Cuffy,November 9  1949  Preysal  Trinidad ,68 years 150 days,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium,,
Grantley Culbard,date unknown ,,,,,,Referee,
Archibald Belford Cumberbatch,June 1  1879  Four Hills Estate  St Andrew  Barbados ,,West Indies ,,,Right-arm medium-fast,details unknown ,
B Cumberbatch,date unknown ,,South Trinidad,,,,,
C Cumberbatch,date unknown ,,East Trinidad,,,,,
Clyde Elliot Cumberbatch,November 13  1936  Port of Spain  Trinidad ,,,,,,Umpire,
C P Cumberbatch,November 22  1882  Barbados ,,Trinidad &amp; Tobago,,,Right-arm medium,February 15  1922  Port of Spain  Trinidad (aged 39 years 85 days) ,
Chester St Clair Cumberbatch,December 12  1913  Wesley Hall  St Michael  Barbados ,,Barbados,,Right-hand bat,,Wicketkeeper,
Dave Anton Cumberbatch,September 26  1964  Maynards  St Peter  Barbados ,53 years 194 days,Barbados ,,Right-hand bat,Slow left-arm orthodox,,
Julian St Clair Cumberbatch,May 10  1877  Canewood  St Michael  Barbados ,,Barbados,,Right-hand bat,,Wicketkeeper,
Felicia Gail Cummings,February 20  1968  Trinidad ,50 years 47 days,West Indies Women,,Right-hand bat,Slow left-arm orthodox,,
R Cummings,date unknown ,,South Trinidad,,,,,
Miguel Lamar Cummins,September 5  1990  St. Michael  Barbados ,27 years 215 days,West Indies ,Bowler,Left-hand bat,Right-arm fast-medium,,
Elaine Cunningham,date unknown ,,Jamaica Women,,,,,
Frank Alexander Cunningham,September 19  1962  Montego Bay  St James  Jamaica ,55 years 201 days,Jamaica,,Right-hand bat,Legbreak googly,,
Lawrence Oliver Cunningham,October 23  1965  Montego Bay  St James  Jamaica ,52 years 167 days,Cayman Islands ,,Right-hand bat,Legbreak googly,,
Oswald J Cunningham,1920  Kingston  Jamaica ,98 years,Jamaica,,Right-hand bat,,,
Ryan Orlando Cunningham,May 29  1978  Kingston  Jamaica ,39 years 314 days,Jamaica ,,Left-hand bat,Slow left-arm orthodox,,
Gosnel Cupid,July 9  1963  St Vincent ,54 years 273 days,Windward Islands,,Right-hand bat,,Wicketkeeper,
J Cupid,date unknown ,,North Trinidad,,,,,
Dane Dominic Currency,February 4  1985  Rendezvous  Barbados ,33 years 63 days,Barbados,,Right-hand bat,Slow left-arm orthodox,,
Romel Kwesi Currency,May 7  1982  St Vincent ,35 years 336 days,Combined Campuses and Colleges ,Batsman,Right-hand bat,Right-arm offbreak,,
Rachel Sheba Cyrus,May 31  1990  Caranage ,27 years 312 days,Grenada Women,,Left-hand bat,Right-arm offbreak,,
Bernard D'Abadie,date unknown ,,South Trinidad,,Left-hand bat,,,
Darnley Clements Campbell Clairmonte Da Costa,March 30  1877  Palm Villa  St Michael  Barbados ,,Barbados,,Right-hand bat,,Wicketkeeper,
L da Costa,date unknown ,,,,,,Umpire,
Leo DaCosta,November 30  1958  St AnnOscar Constantine Da Costa,September 11  1907  Kingston  Jamaica ,,West Indies ,,Right-hand bat,Right-arm medium,October 1  1936  Kingston  Jamaica (aged 29 years 20 days) ,
L S D'Ade,date unknown ,,Trinidad &amp; Tobago,,,,,
Aaron George Daley,May 2  1956  Kitson Town  St Catherine  Jamaica ,61 years 341 days,Jamaica,,Right-hand bat,Right-arm fast-medium,Daughter - ,
Courtenay Eddison Daley,November 6  1950  Kingston  Jamaica ,67 years 153 days,Jamaica,,Left-hand bat,Slow left-arm orthodox,,
Shanel Francine Daley,December 25  1988  Jamaica ,29 years 104 days,West Indies Women,,Left-hand bat,Left-arm medium  Slow left-arm orthodox,Father - ,
Tyrone Travis Daley,October 24  1998 ,19 years 166 days,Jamaica Under-19s,,Left-hand bat,Slow left-arm chinaman,,
Godfrey Eugene Dalton,May 4  1851  Cane Grove  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,August 30  1899  British Guiana (aged 48 years 118 days) ,
Syd Daly,date unknown ,,,,,,Umpire,
Thomas St Felix Daly,June 17  1843  Anns Grove  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,January 6  1924  British Guiana (aged 80 years 203 days) ,
C E Damian,date unknown ,,Trinidad &amp; Tobago,,,,,
Anthony D'Andrade,date unknown ,,University of West Indies Vice Chancellor's XI,,,,,
Alston Emmanuel Daniel,July 16  1960  Carnbee  Tobago ,57 years 266 days,Trinidad &amp; Tobago,,Right-hand bat,Slow left-arm orthodox,,
Gary Daniel,October 29  1986 ,31 years 161 days,Dominica,,,,,
Percy Alfred Daniel,January 19  1962  St Kitts ,56 years 79 days,Leeward Islands,,Right-hand bat,,,
Trevor Daniel,date unknown ,,South Trinidad,,,,,
Wayne Wendell Daniel,January 16  1956  Brereton Village  St Philip  Barbados ,62 years 82 days,West Indies ,,Right-hand bat,Right-arm fast,Coach  Commentator,
Arthur St Felix Dare,June 1  1876  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,Father - ,
John Joseph Dare,October 28  1847  Braintree  Essex  England ,,British Guiana,,Right-hand bat,,Son - ,
John St Felix Dare,August 19  1906  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,Grandfather - ,
J Da Silva,date unknown ,,,,,,Umpire,
Brian David,date unknown ,,,,,,Umpire,
Kenroy Chuck David,November 6  1989  Guyana ,28 years 153 days,St Maarten,Allrounder,Right-hand bat,Right-arm medium-fast,,
Maria David,date unknown ,,St Lucia Women,,,,,
Cleveland Anthony Davidson,July 14  1960  Little London  Westmoreland  Jamaica ,57 years 268 days,Jamaica,,Right-hand bat,Right-arm offbreak,,
A Corey Davies,date unknown ,,,,,,Umpire,
Owen Davies,1914  Wales ,,,,,,Umpire,
Bryan Allan Davis,May 2  1940  Belmont  Port of Spain  Trinidad ,77 years 341 days,West Indies ,,Right-hand bat,Right-arm offbreak,Brother - ,
Casper Andre Davis,March 14  1966  St Vincent ,52 years 25 days,Windward Islands,,Right-hand bat,Right-arm fast,,
Charles Allan Davis,January 1  1944  Belmont  Port-of-Spain  Trinidad ,74 years 97 days,West Indies ,,Right-hand bat,Right-arm medium,Brother - ,
Dorrett Davis,date unknown ,,Jamaica Women,,,,,
Derone Yohann Anthony Davis,October 14  1992  Trinidad ,25 years 176 days,Combined Campuses and Colleges ,Bowler,Left-hand bat,Slow left-arm orthodox,,
Gregory Allan Davis,August 2  1966  Trinidad ,51 years 249 days,Trinidad &amp; Tobago,,Right-hand bat,,Father - ,
Philern Junvlle Davis,May 11  1982 ,35 years 332 days,British Virgin Islands,Batsman,Right-hand bat,,,
Roger Davis,April 24  1978  St. Vincent ,39 years 349 days,,,,,Umpire,
Winston Davis,September 14  1961  St Kitts ,56 years 206 days,Leeward Islands,,Right-hand bat,Right-arm offbreak,Brother - ,
Winston Oliver Davis,July 1  1941  Kingston  Jamaica ,,Jamaica,,Right-hand bat,,October 16  1994  New York  United States of America (aged 53 years 107 days) ,
Winston Walter Davis,September 18  1958  Sion Hill  Kingstown  St Vincent ,59 years 202 days,West Indies ,,Right-hand bat,Right-arm fast,,
Charles Simone Davson,May 20  1857  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,November 6  1933 (aged 76 years 170 days) ,
Jason Obrian Dawes,December 27  1988  Westmoreland  Jamaica ,29 years 102 days,Jamaica ,,Right-hand bat,Right-arm fast,,
Wilfred Reynold Henry Debissette,July 16  1961  Trinidad ,56 years 266 days,Trinidad &amp; Tobago,,Right-hand bat,,,
A De Boissiere,date unknown ,,Trinidad &amp; Tobago,,,,,
V De Boissiere,date unknown ,,Trinidad &amp; Tobago,,,,,
Francis Ignatius de Caires,May 12  1909  British Guiana ,,West Indies ,,Right-hand bat,Right-arm bowler,February 2  1959  British Guiana (aged 49 years 266 days) ,
Cecil De Cordova,February 8  1876  Kingston  Jamaica ,,Jamaica,,,,Wicketkeeper,
David Defoe,April 5  1949  Dominica ,69 years 3 days,Netherlands ,,Left-hand bat,Left-arm fast-medium,,
Bront Arson DeFreitas,November 12  1978  St. Vincent ,39 years 147 days,British Virgin Islands ,Bowler,Right-hand bat,Right-arm fast-medium,,
Celso Lima de Freitas,August 30  1912  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,August 27  1970  Georgetown  Demerara  Guyana (aged 57 years 362 days) ,
G A De Freitas,date unknown ,,AB St Hill's XII,,,,,
Henry William de Freitas,September 19  1923  Perth  Essequibo  British Guiana ,,British Guiana,,Left-hand bat,,May 11  1978  Guyana (aged 54 years 234 days) ,
Erickson Degalerie,date unknown ,,,,,,Umpire,
C De Gannes,date unknown ,,Trinidad &amp; Tobago,,,,,
F E De Gannes,January 31  1889  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,,May 22  1971  Trinidad (aged 82 years 111 days) ,
H Deighton,date unknown ,,Trinidad &amp; Tobago,,,,,
Charles Howard Delgado,July 4  1884  Jamaica ,,Jamaica,,,,December 30  1966  Jamaica (aged 82 years 179 days) ,
Kenneth Dember,date unknown ,,Windward Islands,,,,,
Joyce Demmin,date unknown ,,Trinidad &amp; Tobago Women,,,,,
L Demming,date unknown ,,Combined Islands,,,,,
Oliver Demming,April 18  1928  Victoria Village  San Fernando  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm fast-medium,August 1999  Newtown  Port of Spain  Trinidad (aged 71 years) ,
D De Montbrun,date unknown ,,Trinidad &amp; Tobago,,,,,
Kamal Sebastien Dennis,March 19  1981  Jamaica ,37 years 20 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Narsingh Deonarine,August 16  1983  Albion  Berbice  Guyana ,34 years 235 days,West Indies ,Batsman,Left-hand bat,Right-arm offbreak,,
Ravi Deonarine,September 15  1959  Trinidad ,58 years 205 days,South Trinidad,,Left-hand bat,Slow left-arm orthodox,,
Krishna Deosarran,date unknown ,,West Indies Select XI,,,,,
Cyril Clairmonte Depeiaza,October 10  1928  Mount Standfast  St James  Barbados ,,West Indies ,,Right-hand bat,Right-arm bowler,Wicketkeeper,
Dennis de Peiza,date unknown ,,,,,,Referee,
Rico Depeiza,date unknown ,,West Indies Under-15s,,,,,
Shane Calisa de Silva,September 22  1972  Trinidad &amp; Tobago ,45 years 198 days,West Indies Women,,Left-hand bat,Slow left-arm orthodox,,
Richard Maurice De Souza,March 1  1948  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium,Administrator,
K De Vignes,date unknown ,,North Trinidad,,,,,
Akeem Mark Anthony Dewar,August 30  1991 ,26 years 221 days,Combined Campuses and Colleges ,,Right-hand bat,Legbreak,,
David Thomas Dewdney,October 23  1933  Kingston  Jamaica ,84 years 167 days,West Indies ,,Right-hand bat,Right-arm fast,,
George Alric R Dewhurst,October 31  1894  Trinidad ,,Trinidad,,Right-hand bat,,Wicketkeeper,
Redvers Dundonald Dyal,1901 ,,,,,,May 7  1997 (aged 96 years) ,
Deonarine Deyal,November 19  1963  Trinidad ,54 years 140 days,Trinidad &amp; Tobago,,Left-hand bat,,,
Mark Deyal,April 7  1993  Diego Martin ,25 years 1 days,Trinidad &amp; Tobago ,,Left-hand bat,Right-arm offbreak,,
Rajindra Dhanraj,February 6  1969  Barrackpore  Trinidad ,49 years 61 days,West Indies ,,Right-hand bat,Legbreak googly,,
Anthony Glenn Dharson,April 28  1960  Trinidad ,57 years 345 days,Trinidad &amp; Tobago,,Left-hand bat,Right-arm offbreak,,
Keith Gavin D'Heurieux,February 15  1952  Trinidad ,66 years 52 days,Trinidad &amp; Tobago,,Right-hand bat,Right-arm medium,,
Vernon Chadwell Dias,January 11  1900  Oleander Gardens  East Coast  Demerara  British Guiana ,,British Guiana,,Left-hand bat,Slow left-arm orthodox,July 14  1963  British Guiana (aged 63 years 184 days) ,
D Diaz,date unknown ,,Trinidad &amp; Tobago Development Women,,,,,
Mervyn Dillon,June 5  1974  Mission Village  Toco  Trinidad ,43 years 307 days,West Indies ,Bowler,Right-hand bat,Right-arm fast-medium,,
Deron Cecil Dixon,January 18  1967  Kingston  Jamaica ,51 years 80 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Billy Raymond Doctrove,July 3  1955  Marigot  Dominica ,62 years 279 days,Saints Sports Club,,Right-hand bat,,Umpire,
Rosalie Dolabaille,June 19  1994 ,23 years 293 days,Trinidad &amp; Tobago Women,,Right-hand bat,Right-arm slow-medium,,
CM Donald,date unknown ,,,,,,Umpire,
Rudolph Henry Doodnauth,June 7  1947  Blairmont  East Bank  Berbice  British Guiana ,70 years 305 days,Guyana,,Right-hand bat,Right-arm offbreak,,
Romain Isaac Doodnauth,October 30  1982  Guyana ,35 years 160 days,Leeward Islands ,Allrounder,Left-hand bat,Left-arm medium-fast,,
Gary Otto Dore,July 2  1945  Belmont  Port-of-Spain  Trinidad ,72 years 280 days,East Trinidad ,,Right-hand bat,Right-arm medium,,
Colin Cleopas d'Ornellas,May 2  1889  Grenfield Park  Diamond  East Bank  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,June 17  1934  British Guiana (aged 45 years 46 days) ,
Keston Desmond Dornick,May 26  1988  Guyana ,29 years 317 days,St Maarten,Bowler,Right-hand bat,Right-arm medium-fast,,
Deandra Jalisa Shakira Dottin,June 21  1991  Barbados ,26 years 291 days,Barbados Women ,,Right-hand bat,Right-arm fast-medium,Cousin - ,
Nicholas Dougan,date unknown  Calliaqua  St Vincent ,,Windward Islands,,,,,
David Douglas,June 24  1951  Kilcoy  Berbice  British Guiana ,66 years 288 days,Berbice,,Right-hand bat,Right-arm fast-medium,,
Florence Douglas,date unknown ,,Trinidad &amp; Tobago Women,,,,,
Uton George Dowe,March 29  1949  St Mary  Jamaica ,69 years 10 days,West Indies ,,Right-hand bat,Right-arm fast,,
AMD Dowlat,date unknown ,,,,,,Umpire,
Kasso Dowlath,February 26  1956  Rousillac  Trinidad ,62 years 41 days,,,,,Umpire,
Travis Montague Dowlin,February 24  1977  Guyhock Gardens  Georgetown  Demerara  Guyana ,41 years 43 days,West Indies ,Batsman,Right-hand bat,Right-arm offbreak,,
Stanley Griffith Downer,March 8  1884  One Mile  Linden  East Bank  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,January 19  1946  British Guiana (aged 61 years 317 days) ,
Othneil D'Arcy Downes,September 1  1934  Carrington Village  St Michael  Barbados ,,Barbados,,Right-hand bat,Right-arm fast-medium,April 25  2000  Bridgetown  Barbados (aged 65 years 237 days) ,
Shane Omari Dowrich,October 30  1991  Barbados ,26 years 160 days,West Indies ,Wicketkeeper batsman,Right-hand bat,,Wicketkeeper,
Hillard Hartley Doyle,November 15  1935  Brittons Hill  St Michael  Barbados ,82 years 144 days,Barbados,,Right-hand bat,,Wicketkeeper,
Dominic C Drakes,February 6  1998 ,20 years 61 days,Barbados Under-19s,,Left-hand bat,Left-arm medium-fast,,
Jonathan Andrew Drakes,October 11  1994  Bridgetown  Barbados ,23 years 179 days,Barbados Under-19s ,Middle-order batsman,Right-hand bat,,Combermere,
Vasbert Conniel Drakes,August 5  1969  Springhead  St Andrew  Barbados ,48 years 246 days,Scotland ,,Right-hand bat,Right-arm fast,Coach,
Devon Nathaniel Drayton,September 14  1888  Voorzigtigheid  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,November 27  1941  British Guiana (aged 53 years 74 days) ,
Byron Henry Drury,October 3  1870  Lucknow  Uttar Pradesh  India ,,Jamaica,,,,November 12  1897  Trafalgar Point  St Andrew  Jamaica (aged 27 years 40 days) ,
William Duberry,January 15  1944  Montserrat ,74 years 83 days,Leeward Islands,,,,,
Arthur Vivian Duff,March 29  1883  St Ann's Bay  St Ann  Jamaica ,,Jamaica,,,,details unknown ,
Nigel Duguid,November 25  1969  Georgetown  Guyana ,48 years 134 days,,,,,Umpire,
Leroy Vitalis StJust Dujon,November 22  1918  Lyndhurst Town  Kingston  Jamaica ,,Jamaica,,Right-hand bat,,January 10  1967  St Andrew  Barbados (aged 48 years 49 days) ,
Peter Jeffrey Leroy Dujon,May 28  1956  Kingston  Jamaica ,61 years 315 days,West Indies ,,Right-hand bat,Right-arm medium,Wicketkeeper,
