Leila Grace Williams,date unknown ,,Jamaica Women ,,,,,
Lionel Leon Williams,November 26  1937  Mason Hall  St Michael  Barbados ,80 years 133 days,Barbados,,Right-hand bat,Right-arm fast-medium,,
Laurie Rohan Williams,December 12  1968  Jamaica ,,West Indies ,,Right-hand bat,Right-arm medium,September 8  2002  Portmore  Kingston  Jamaica (aged 33 years 270 days) ,
Malcolm Williams,August 16  1949  Vergenogen  East Bank  Essequibo  British Guiana ,68 years 235 days,Essequibo,,Right-hand bat,Right-arm medium,,
Medroy Wycliffe Williams,May 17  1953  Boscobel  St Mary  Jamaica ,64 years 326 days,Jamaica,,Right-hand bat,,,
N Williams,date unknown ,,Jamaica,,,,,
Nelly Andrea Williams,August 16  1980  Trinidad &amp; Tobago ,37 years 235 days,West Indies Women,,Right-hand bat,Right-arm medium,,
Nyasha Niquette Vanecia Williams,December 24  1988 ,29 years 105 days,St Vincent and the Grenadines Women,,Left-hand bat,Right-arm offbreak,,
Oscar Williams,1932  St John's  Antigua ,86 years,Leeward Islands,,Right-hand bat,Right-arm medium,,
Oraine Williams,July 13  1992 ,25 years 269 days,,,Right-hand bat,Right-arm medium,,
Philton Williams,June 21  1994  Laventille  Trinidad ,23 years 291 days,Trinidad &amp; Tobago,,Right-hand bat,Right-arm fast,,
Prudence Nashella Williams,September 4  1977 ,40 years 216 days,Guyana Women,,Right-hand bat,Right-arm offbreak,,
Rackel Candis Williams,June 10  1991 ,26 years 302 days,Grenada Women,,Left-hand bat,Right-arm medium,,
Rashada Shieka Williams,February 23  1997 ,21 years 44 days,Jamaica Women,,Right-hand bat,,,
Shaquille Williams,date unknown ,,Combined Campuses and Colleges,,,,,
Stuart Clayton Williams,August 12  1969  Government Road  Nevis ,48 years 239 days,West Indies ,Batsman,Right-hand bat,Right-arm medium,Uncle - ,
Shirlon Ian Williams,November 7  1959  St Kitts ,58 years 152 days,Leeward Islands,,Right-hand bat,,Wicketkeeper,
Saeed Stuart Williams,January 1  1997 ,21 years 97 days,Leeward Islands Under-19s,,Left-hand bat,,,
Tyrone Walston Williams,October 12  1997 ,20 years 178 days,Leeward Islands Under-19s,,Right-hand bat,Right-arm medium-fast,,
Winston Anthony Williams,November 17  1952  St Kitts ,65 years 142 days,Leeward Islands,,Right-hand bat,,Wicketkeeper,
Walford Wallace Williams,January 1  1952  Portland  Jamaica ,66 years 97 days,Jamaica,,Right-hand bat,Right-arm offbreak,,
Dimeon Williams,May 16  1987  Guyana ,30 years 327 days,St Maarten,Allrounder,Right-hand bat,Right-arm medium-fast,,
Ryan Willoughby,November 27  1976  Barbados ,41 years 132 days,,,,,Umpire,
C Wilson,date unknown ,,Trinidad &amp; Tobago,,,,,
Errol Lloyd Wilson,November 18  1959  Braes River  St Elizabeth  Jamaica ,58 years 141 days,Jamaica,,Right-hand bat,Right-arm offbreak,,
Francis Stuart Wilson,January 18  1883  Campden Hill  Kensington  London  England ,,Jamaica,,,,May 24  1915  Helles  Gallipoli Peninsula  Turkey (aged 32 years 126 days) ,
J Wilson,date unknown ,,Trinidad &amp; Tobago,,,,,
Joel Sheldon Wilson,December 30  1966  Trinidad ,51 years 99 days,,,,,Umpire,
Myron Dexter Wilson,November 29  1979  Trelawny  Jamaica ,38 years 130 days,Jamaica Select XI,,Right-hand bat,Right-arm offbreak,,
Sheldon Greg Wilson,August 23  1972  St Lucia ,45 years 228 days,Northern Windward Islands ,,Right-hand bat,Right-arm slow-medium,,
T Wilson,date unknown ,,,,,,Umpire,
Colin Francis Wiltshire,October 3  1935  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,December 18  2009  Trinidad (aged 74 years 76 days) ,
Joseph Wiltshire,date unknown ,,East Trinidad,,,,Wicketkeeper,
Paul Gordon Wintz,March 7  1986  Cumberland Village  Berbice ,32 years 32 days,Berbice ,Bowler,Right-hand bat,Right-arm fast-medium,,
Kenneth Leslie Wishart,November 28  1908  Georgetown  Demerara  British Guiana ,,West Indies ,,Left-hand bat,,October 18  1972  Georgetown  Demerara  Guyana (aged 63 years 325 days) ,
G Withers,date unknown ,,Jamaica,,,,,
Kenneth Arthur Wong,May 22  1973  Georgetown  Demerara  Guyana ,44 years 321 days,Guyana,,Right-hand bat,,Wicketkeeper,
Chester Park Wood,August 2  1854  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,details unknown ,
Gerald Lear Wood,March 7  1926  Vaucluse  St Thomas  Barbados ,92 years 32 days,Barbados,,Right-hand bat,,Wicketkeeper,
Lear Oderic Wood,November 12  1885  Buttals Plantation  St George  Barbados ,,Barbados,,Right-hand bat,Right-arm medium-fast,December 31  1977  Ashton Hall  St Peter  Barbados (aged 92 years 49 days) ,
Rupert Clement Wood,November 12  1917  Bayleys Plantation  St Philip  Barbados ,,Barbados,,Right-hand bat,Right-arm medium,January 5  1968  Montreal  Quebec  Canada (aged 50 years 54 days) ,
Graham Mills Woodhouse,March 12  1853  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,details unknown ,
Shervin Trevis Woodley,June 18  1976  Nevis ,41 years 294 days,Nevis,Batsman,Right-hand bat,Right-arm medium,,
Joseph Woods,circa 1872  Barbados ,,British Guiana ,,Right-hand bat,Right-arm fast,,
K Woods,date unknown ,,,,,,Umpire,
Gerald Woollaston,September 17  1936  Kingston  Jamaica ,81 years 203 days,Jamaica,,,,,
Clarence Aubrey Worme,March 10  1883  River Plantation  St Philip  Barbados ,,Barbados,,,,February 19  1935  Buffalo  New York  United States of America (aged 51 years 346 days) ,
Stanley Mills Worme,October 26  1887  River Plantation  St Philip  Barbados ,,Barbados,,Right-hand bat,Right-arm fast,1942  Buffalo  New York  United States of America (aged 54 years) ,
Collis Anthony Worrell,November 28  1988  Diamond Corner  St Peter  Barbados ,29 years 131 days,Barbados ,,Left-hand bat,,Wicketkeeper,
Frank Mortimer Maglinne Worrell,August 1  1924  Bank Hall  St Michael  Barbados ,,West Indies ,,Right-hand bat,Left-arm fast-medium  Left-arm slow,West Indies' first appointed black captain was also their most charismatic and influential. Though a fine  stylish batsman  it is as a strong captain and an uniting force that he will be remembered. The affection with which his team was received in Australia during the landmark tour of 1960-61 is enshrined in the trophy named after him  which the two teams play for to date. ,
Michael Christopher Worrell,June 14  1958  Around-The-Town  St Peter  Barbados ,59 years 298 days,Barbados,,Right-hand bat,,Wicketkeeper,
Christopher Oniel Wright,April 6  1977  Mandeville  Manchester  Jamaica ,41 years 2 days,,,,,Umpire,
Karl Wright,date unknown ,,Jamaica,,,,,
Lyndel Norman Gordon Wright,April 18  1950  Kingston  Jamaica ,67 years 355 days,Jamaica,,Right-hand bat,Legbreak,,
Samuel Cecil Wright,December 6  1933  Santa Cruz  St Elizabeth  Jamaica ,84 years 123 days,Jamaica,,Right-hand bat,Right-arm fast,,
Charles Guy Austin Wyatt,September 16  1854  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,September 11  1921  Cheltenham  Gloucestershire  England (aged 66 years 360 days) ,
Ray Ricardo Wynter,November 27  1955  Kingston  Jamaica ,62 years 132 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Bhaskar Yadram,September 18  1999  Guyana ,18 years 202 days,West Indies Under-19s,,Right-hand bat,Right-arm medium  Right-arm offbreak,,
Kavita Yadram,September 6  1993 ,24 years 214 days,Guyana Women,,Left-hand bat,Right-arm medium,,
Kamesh Yadram,date unknown ,,Guyana Under-19s,,,,,
PC Yansen,date unknown ,,,,,,Umpire,
Merlon Yarde,April 26  1944  Silver Sands  Christ Church  Barbados ,73 years 347 days,Barbados,,Right-hand bat,,,
Barrington Bjorn Beckenbauer Yearwood,August 18  1986  Barbados ,31 years 233 days,Barbados ,,Left-hand bat,Right-arm fast-medium,,
Dwayne Leron Yearwood,August 15  1980  Barbados ,37 years 236 days,Barbados,,Right-hand bat,Right-arm offbreak,,
Guy Yearwood,November 9  1948  Antigua ,69 years 150 days,Leeward Islands,,Right-hand bat,Right-arm medium,,
Lawrence Timothy Yearwood,June 25  1884  Holders Hill  St James  Barbados ,,Barbados,,Right-hand bat,,Wicketkeeper,
Rondelle Andre Yearwood,July 21  1975  Harrises  St Lucy  Barbados ,42 years 261 days,Barbados,,Right-hand bat,,Wicketkeeper,
W Yeates,date unknown ,,Trinidad &amp; Tobago,,,,,
Clint Gabriel Yorke,June 7  1962  Tobago ,55 years 305 days,Trinidad &amp; Tobago,,Left-hand bat,Right-arm medium,,
Dwight Eversley Yorke,November 3  1971  Canaan  Trinidad and Tobago ,46 years 156 days,UWI Vice Chancellor's Celebrity XI,,,,Wicketkeeper,
Hubert Bancroft Young,May 28  1911  Kingston  Jamaica ,106 years 315 days,Jamaica,,,,,
Nyeem Young,September 22  2000 ,17 years 198 days,West Indies Under-19s,,Right-hand bat,Right-arm medium,,
Samuel Constantine Young,October 10  1902  Pear Tree Grove  St Catherine ,,Jamaica,,,,details unknown ,
McFord Zamore,date unknown  Colihaut  Dominica ,,Windward Islands,,Right-hand bat,Legbreak,,
David William Abbott,June 8  1934  Long Benton  Newcastle upon Tyne  Northumberland  New Zealand ,83 years 304 days,,,,,Umpire,
Victoria Louise Abbott,May 4  1988  Christchurch  Canterbury ,29 years 339 days,Otago Women,,Right-hand bat,Right-arm medium,,
Thomas Ralph Abercrombie,December 7  1891  Dunedin  Otago ,,Southland,,,,July 28  1958  Wellington (aged 66 years 233 days) ,
Denis Charles Aberhart,March 23  1953  Motueka  Tasman ,65 years 16 days,Canterbury ,,Right-hand bat,Right-arm medium,Brother - ,
Wayne Maurice Aberhart,May 10  1958  Motueka  Tasman ,59 years 333 days,Wellington,,Right-hand bat,Right-arm medium,Brother - ,
Bruce Abernethy,May 28  1958  Toowoomba  Queensland  Australia ,59 years 315 days,Otago,,Right-hand bat,Right-arm medium,,
Joel Koshy Abraham,July 13  1989  Changanacherry   Kerala  India ,28 years 269 days,Canterbury,Opening batsman,Right-hand bat,Legbreak,,
HL Aburn,date unknown ,,Canterbury Under-21s Women,,,,,
Richard John Ackland,August 2  1958  Auckland ,59 years 249 days,Auckland,,Right-hand bat,Slow left-arm orthodox,,
Alfred Edward Ackroyd,January 14  1885  Dunedin  Otago ,,Otago,,Right-hand bat,,May 21  1952  Christchurch  Canterbury (aged 67 years 128 days) ,
Alan Augustus Adams,May 8  1880  Greymouth  West Coast ,,Otago,,,,July 28  1963  Greymouth  West Coast (aged 83 years 81 days) ,
Andre Ryan Adams,July 17  1975  Auckland ,42 years 265 days,New Zealand ,Allrounder,Right-hand bat,Right-arm fast-medium,West Lake Boys  Auckland,
Keith Adams,date unknown ,,,,,,Umpire,
Stephen Douglas Adams,April 28  1953  Auckland ,64 years 345 days,Auckland,,Left-hand bat,Right-arm medium,,
Thomas Daggar Adams,February 15  1884  Dunedin  Otago ,,Otago,,,,November 20  1953  Dunedin  Otago (aged 69 years 278 days) ,
Joseph Mould Adcock,March 10  1864  Tamworth  Staffordshire  England ,,Nelson,,,,January 24  1914  Willesborough  Ashford  Kent  England (aged 49 years 320 days) ,
Alwin Hogarth Addison,October 27  1887  Orroroo  South Australia  Australia ,,Canterbury,,,,July 31  1971  Armidale  New South Wales  Australia (aged 83 years 277 days) ,
John Robert Bayley A'Deane,March 21  1865  Takapau  Hawke's Bay ,,Hawke's Bay,,,,March 14  1924  Takapau  Hawke's Bay (aged 58 years 359 days) ,
Megan Joy Adler,December 8  1977  Tauranga  Bay of Plenty ,40 years 121 days,Northern Districts Women,,Right-hand bat,Right-arm medium,,
Phillip John Agent,August 20  1960  Westport  West Coast ,57 years 231 days,,,,,Umpire,
Denis Terence Ager,circa 1919 ,,South Island,,,,,
John Maxwell Aiken,July 3  1970  Sydney  New South Wales  Australia ,47 years 279 days,Auckland ,,Left-hand bat,,,
Gregory Martyn Aim,September 4  1933  Wellington ,,Otago ,,Right-hand bat,Right-arm medium,April 1  2005  Wellington (aged 71 years 209 days) ,
David Michael Lawson Airey,April 26  1948  Wellington ,69 years 347 days,Wellington,,Right-hand bat,,Father - ,
Wilfred Farrant Airey,September 27  1907  Nelson  Nelson ,,Wellington,,Left-hand bat,,Son - ,
R Aitken,date unknown ,,Auckland,,,,,
Grenville David Alabaster,December 10  1933  Invercargill  Southland ,84 years 119 days,New Zealand ,,Left-hand bat,Right-arm offbreak,Brother - ,
John Chaloner Alabaster,July 11  1930  Invercargill  Southland ,87 years 271 days,New Zealand ,,Right-hand bat,Legbreak googly,Brother - ,
Alistair James Alcock,July 20  1972  Napier  Hawke's Bay ,45 years 262 days,Central Districts,,Left-hand bat,Right-arm medium,,
William Arthur Aldersley,January 25  1892  Rangiora  Canterbury ,,Wellington,,,,March 17  1981  Lower Hutt  Wellington (aged 89 years 51 days) ,
John Dalton Alderson,February 3  1929  Auckland ,89 years 64 days,Canterbury,,,Right-arm medium,,
R Aldrich,date unknown ,,,,,,Umpire,
Brian Leslie Aldridge,June 30  1940  Christchurch  New Zealand ,77 years 282 days,,,,,Umpire  Referee,
Charles William Aldridge,May 12  1947  Balclutha  Otago ,70 years 331 days,Canterbury,,Left-hand bat,Right-arm medium-fast,Son - ,
Graeme William Aldridge,November 15  1977  Christchurch  Canterbury ,40 years 144 days,New Zealand A ,Bowler,Right-hand bat,Right-arm fast-medium,Father - ,
Reginald David Simpson Alexander,1941 ,77 years,,,,,Umpire,
Reginald David Simpson Alexander,March 17  1942  Wellington ,76 years 22 days,,,,,Umpire,
Robert Edward Alexander,September 1911  Christchurch  Canterbury ,,Canterbury,,Left-hand bat,Legbreak googly,May 9  1988  Christchurch  Canterbury (aged 76 years) ,
CS Alington,date unknown ,,,,,,Umpire,
Barry Clarke Allan,September 28  1928  Dunedin  Otago ,,Otago,,,Right-arm medium,January 8  1962  Dunedin  Otago (aged 33 years 102 days) ,
Elizabeth Patricia Norris Allan,November 6  1948  Auckland ,69 years 153 days,New Zealand Women ,,Right-hand bat,Right-arm medium,,
James Matthew Allan,June 3  1972  Waimate  Canterbury ,45 years 309 days,Otago,,Right-hand bat,,,
Charles Wright Allard,December 29  1885  Christchurch  Canterbury ,,Canterbury,,Right-hand bat,,April 2  1965  Kaiapoi  Canterbury (aged 79 years 94 days) ,
Ivan Douglas Allardyce,1895 ,,Canterbury ,,,,November 14  1967  Palmerston North (aged 72 years) ,
Cyril Francis Walter Allcott,October 7  1896  Lower Moutere  Tasman ,,New Zealand ,,Left-hand bat,Slow left-arm orthodox,November 19  1973  Auckland (aged 77 years 43 days) ,
Finnley Hugh Allen,April 22  1999  Auckland ,18 years 351 days,Auckland Under-17s ,Wicketkeeper batsman,Right-hand bat,,Wicketkeeper,
Garry Sol Allen,August 11  1945  Wellington ,72 years 240 days,Wellington,,Left-hand bat,Left-arm medium,Father - ,
John Allen,December 26  1850  Dunedin  Otago ,,Otago,,,,Wicketkeeper,
John Henry Allen,February 4  1903  Dunedin  Otago ,,Otago,,,,March 18  1961  Dunedin  Otago (aged 58 years 42 days) ,
Percy F L M Allen,date unknown  England ,,Canterbury,,Right-hand bat,,Wicketkeeper,
Raymond Allen,October 27  1908  Wellington ,,Wellington,,Left-hand bat,Slow left-arm orthodox,Son - ,
Raoul Allen,September 27  1961  Cape Town  South Africa ,56 years 193 days,,,,,Umpire,
RL Allen,date unknown ,,,,,,Umpire,
Simon Rodney Allen,September 5  1983  Wellington ,34 years 215 days,New Zealand Under-19s ,,Right-hand bat,Right-arm offbreak,Wicketkeeper,
William Herbert Allington,December 13  1842  Spilsby  Lincolnshire  England ,,Canterbury,,,,details unknown ,
Albert Peacock Alloo,October 26  1893  Sydney  New South Wales  Australia ,,Otago,,Left-hand bat,Slow left-arm orthodox,Brother - ,
Arthur William Alloo,January 9  1892  Sydney  New South Wales  Australia ,,Otago,,Right-hand bat,Right-arm offbreak,Brother - ,
Howard Cecil Alloo,April 28  1895  Sydney  New South Wales  Australia ,,Otago,,Right-hand bat,,Brother - ,
Geoffrey Ian Allott,December 24  1971  Christchurch  Canterbury ,46 years 105 days,New Zealand ,Bowler,Right-hand bat,Left-arm fast-medium,Administrator,
Frank Gordon Alpe,March 26  1884  Wellington ,,Wellington,,,,March 10  1958  Waikanae  Wellington (aged 73 years 349 days) ,
Samuel Alpe,March 29  1834  Swaffham  Norfolk  England ,,Auckland ,,,,July 30  1918  Wellington (aged 84 years 123 days) ,
Keryn Ross Ambler,February 17  1986  Christchurch ,32 years 50 days,Canterbury A ,,Right-hand bat,Right-arm medium,,
Leslie David Andersen,December 11  1939  Melbourne  Victoria  Australia ,78 years 118 days,Auckland ,,Left-hand bat,Left-arm medium,,
Carl James Anderson,October 4  1977  Christchurch  Canterbury ,40 years 186 days,Canterbury,,Right-hand bat,Slow left-arm orthodox,,
Corey James Anderson,December 13  1990  Christchurch  Canterbury ,27 years 116 days,New Zealand ,Batting allrounder,Left-hand bat,Left-arm medium-fast,,
FG Anderson,date unknown ,,Canterbury A ,,,,,
Gordon Frank Anderson,January 9  1922  Christchurch  Canterbury ,96 years 89 days,Canterbury,,Right-hand bat,,Uncle - ,
Hayden Thomas Anderson,July 3  1980  Dunedin  Otago ,37 years 279 days,Otago,,Right-hand bat,Right-arm medium,,
Ian Paul Anderson,June 23  1925  Christchurch  Canterbury ,,Canterbury,,Left-hand bat,,Wicketkeeper,
Sir John Anthony Anderson,August 2  1945  Wellington  New Zealand ,72 years 249 days,,,,,Administrator,
Kate Georgia Anderson,May 6  1996  Invercargill ,21 years 337 days,Northern Districts Under-21s Women,,Right-hand bat,Right-arm medium,,
Kelly Sarah Anderson,February 4  1983  Auckland ,35 years 63 days,Auckland Women ,,Right-hand bat,Right-arm medium,Kelly Hill,
L Anderson,date unknown ,,Otago,,,,,
Leslie Gilbert Anderson,September 20  1891  Dunedin  Otago ,,Otago,,,,May 18  1979  Dunedin  Otago (aged 87 years 240 days) ,
N Anderson,date unknown ,,Hawke's Bay,,,,,
Nicola Marie Anderson,May 18  1992  Whangarei ,25 years 325 days,Northern Districts Women,,Right-hand bat,Right-arm medium,,
Paul Napier Anderson,April 28  1966  Driffield  Yorkshire ,51 years 345 days,Yorkshire,,Right-hand bat,Right-arm medium,Umpire,
Peter Stewart Anderson,February 3  1950  Taihape  Manawatu ,,Northern Districts,,Left-hand bat,Right-arm medium,December 27  2012  Tauranga (aged 62 years 328 days) ,
Paul Victor Anderson,October 5  1945  Patea  Taranaki ,,,,,,Umpire,
Paul Victor Anderson,1945 ,73 years,,,,,Umpire,
Robert Donald Anderson,November 7  1947  Ouyen  Victoria  Australia ,70 years 152 days,,,,,Umpire,
Robert Geoffrey Anderson,March 29  1939  Dunedin  Otago ,79 years 10 days,Otago,,Right-hand bat,Right-arm fast-medium,,
Rudolph Godfrey Anderson,1888 ,,Hawke's Bay,,,,1960  Bay of Plenty  Tauranga (aged 72 years) ,
Robert Wickham Anderson,October 2  1948  Christchurch  Canterbury ,69 years 188 days,New Zealand ,,Right-hand bat,Legbreak,Father - ,
Trudy Lee Anderson,August 26  1959  Dunedin  Otago ,58 years 225 days,Auckland Women ,,Right-hand bat,,,
Timothy Robert Anderson,December 13  1978  Palmerston North  Manawatu ,39 years 116 days,Central Districts,,Right-hand bat,Legbreak,Grandfather - ,
William McDougall Anderson,October 8  1919  Westport  West Coast ,,New Zealand ,,Left-hand bat,Legbreak googly,Son - ,
T Andrew,date unknown ,,Otago,,,,,
Bryan Andrews,April 4  1945  Christchurch  Canterbury ,73 years 4 days,New Zealand ,,Right-hand bat,Right-arm medium,Father - ,
Cody William Andrews,September 6  1987  Gisborne  Poverty Bay ,30 years 214 days,Northern Districts ,,Right-hand bat,Right-arm medium-fast,,
Ernest Herbert Andrews,June 25  1873  Nelson  Nelson ,,Hawke's Bay,,,,November 9  1961  Christchurch  Canterbury (aged 88 years 137 days) ,
Frederick Maxwell Andrews,1905  England ,,Auckland ,,Right-hand bat,Right-arm medium,August 10  1983  Auckland (aged 78 years) ,
Gene Peter Glenn Andrews,May 10  1982  Auckland ,35 years 333 days,Auckland,,Right-hand bat,,,
Stanley Andrews,November 22  1912  Christchurch  Canterbury ,,Canterbury,,Right-hand bat,Right-arm fast-medium,Son - ,
Simon Leslie Andrews,July 11  1980  Auckland ,37 years 271 days,Northern Districts,,Right-hand bat,Right-arm fast-medium,,
Jack William Henry Annan,August 10  1920  Grey Lynn  Auckland ,,,,,,Umpire,
John Ansenne,1860  Auckland ,,Auckland,,,,April 28  1939  Thames  Waikato (aged 79 years) ,
George Edward Anson,September 27  1850  Sudbury  England ,,West Coast,,,,July 15  1934  Lower Hutt  Wellington (aged 83 years 291 days) ,
Arnold Anthony,July 28  1886  Christchurch  Canterbury ,,Auckland ,,Right-hand bat,Right-arm medium,October 14  1968  Auckland (aged 82 years 78 days) ,
Robert Gordon Arblaster,April 10  1948  Auckland ,69 years 363 days,Auckland,,Right-hand bat,Right-arm medium,,
John Aris,September 12  1843  Croydon  Surrey  England ,,Otago,,,,November 12  1927  Palmerston North  Manawatu (aged 84 years 61 days) ,
Henry Fitzherbert Arkwright,January 4  1882  Kensington  London  England ,,Minor Associations,,,,Wicketkeeper,
Joseph Thomas Bourke Armitage,September 20  1846  Sydney  New South Wales  Australia ,,Wellington,,,,1923  Steyning  Sussex  England (aged 76 years) ,
Bella Grace Armstrong,November 16  1999  Auckland ,18 years 143 days,Auckland Under-21s Women ,,Right-hand bat,Right-arm medium,,
Douglas Warwick Armstrong,April 13  1931  Wellington ,86 years 360 days,Central Districts,,Right-hand bat,Slow left-arm orthodox,,
Heidi Hinemoa Arndt,September 13  1993  Te Kuiti ,24 years 207 days,Northern Districts Women,,Right-hand bat,,,
John Arneil,1862  India ,,Auckland,,,,August 11  1938  Auckland (aged 76 years) ,
Brent John Arnel,January 3  1979  Te Awamutu  Waikato ,39 years 95 days,New Zealand ,Bowler,Right-hand bat,Right-arm medium-fast,,
Arnold Peter Arnold,October 16  1926  Wellington ,91 years 174 days,Canterbury ,,Right-hand bat,Right-arm medium,,
J Arnold,date unknown ,,Nelson,,,,,
W Arnold,date unknown ,,Nelson,,,,,
Alfred Ashbolt,1848  Wellington ,,,,,,Son - ,
Frank Lionel Ashbolt,April 11  1876  Christchurch  Canterbury ,,Wellington,,Right-hand bat,Right-arm offbreak,Father - ,
David Alexander Ashby,June 11  1852  Beddington  Surrey  England ,,Canterbury ,,Right-hand bat,Right-arm fast-medium,June 2  1934  Christchurch  Canterbury (aged 81 years 356 days) ,
Peter Ashcroft,1873  Lancashire  England ,,Hawke's Bay,,,,Wicketkeeper,
Jack Gilbert Ashenden,May 12  1911  Wellington ,,Wellington,,Right-hand bat,Right-arm medium,November 14  1992  Sydney  New South Wales  Australia (aged 81 years 186 days) ,
Aubrey Charles Ashford,1894 ,,,,,,Umpire,
W Ashton,date unknown ,,Hawke's Bay,,,,,
Dean Newman Askew,June 15  1962  Hamilton  Waikato ,55 years 297 days,Auckland ,,Right-hand bat,Right-arm fast-medium,,
James Weymss Askew,1860 ,,Nelson,,,,Wicketkeeper,
Sarah Renee Asmussen,July 15  2000  Christchurch  Canterbury ,17 years 267 days,Canterbury Women,,Right-hand bat,Legbreak googly,,
Alec Morrison Astle,August 5  1949  Feilding  Manawatu ,68 years 246 days,Central Districts,,Right-hand bat,Right-arm medium-fast,Son - ,
Lisa Marie Astle,May 17  1973  Christchurch  Canterbury ,44 years 326 days,Canterbury 'B' Women ,,Right-hand bat,Right-arm bowler,Brother - ,
Nathan John Astle,September 15  1971  Christchurch  Canterbury ,46 years 205 days,New Zealand ,Opening batsman,Right-hand bat,Right-arm medium,Sister - ,
Todd Duncan Astle,September 24  1986  Palmerston North  New Zealand ,31 years 196 days,New Zealand ,Middle-order batsman,Right-hand bat,Legbreak,Father - ,
Atkinson,date unknown ,,Nelson,,,,,
Colin Maurice Hilton Atkinson,November 6  1951  Taumarunui  Wanganui ,66 years 153 days,Central Districts,,Right-hand bat,,,
Georgia Kate Atkinson,April 23  2000  Masterton  Wairarapa ,17 years 350 days,Central Districts Women,,Right-hand bat,Legbreak googly,,
Craig Laurence Auckram,June 9  1967  Levin  Manawatu ,50 years 303 days,Central Districts,,Right-hand bat,Right-arm fast-medium,,
Hendrick Osborne Audinwood,1878  Weston  Derbyshire ,,Hawke's Bay,,,,May 31  1950  Auckland (aged 72 years) ,
Eric Austin,April 5  1974  Wanganui ,44 years 3 days,Central Districts,,Left-hand bat,,Wicketkeeper,
E G Austin,date unknown ,,Canterbury,,,,,
Gerald George Austin,March 14  1875  Dunedin  Otago ,,Otago,,,,Brother - ,
Thomas Talbert Leon Austin,March 9  1857  Melbourne  Victoria  Australia ,,Otago,,,,Brother - ,
Joseph Austin-Smellie,October 17  1989  Dunedin  Otago ,28 years 173 days,New Zealand Under-19s ,,Right-hand bat,,Wicketkeeper,
Francis Ayles,March 30  1880  Sandridge (now Port Melbourne)  Victoria  Australia ,,Otago,,,,June 18  1939  Newmarket  Australia (aged 59 years 80 days) ,
Matthew Boyce Bacon,April 13  1993  Auckland ,24 years 360 days,Central Districts A,,,,,
Frederick Theodore Badcock,August 9  1897  Abbottabad  North-West Frontier Province  India ,,New Zealand ,,Right-hand bat,Right-arm fast-medium,September 19  1982  South Perth  Western Australia  Australia (aged 85 years 41 days) ,
Rex Allen Baddeley,November 6  1941  Wanganui ,76 years 153 days,Auckland,,Left-hand bat,Left-arm fast-medium,,
